Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2009,,mécanique,,D,,4.5 l/100km,requis,gris metal,cuir noir,3,,,,132 743 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154585.html,29,21/11/2009,M. ou Mme B.,5,5,2,EURO4,non,,,,116 ch,7 CV,85 kW,,Vendeur particulier,,,Ford,C-MAX,Très bien équipé,FORD C-MAX 1.8 TDCI 115 TITANIUM,7 770 €,B102154585,,143 g/km,Diesel
2019,,automatique,,F,,7.5 l/100km,non requis,noir metal,cuir/alcantara noir,1,,,,97 180 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160677.html,83,01/12/2019,M. ou Mme P.,5,5,3,EURO6,non,,,,367 ch,26 CV,270 kW,,Vendeur particulier,,,Mercedes,GLC COUPE AMG,,MERCEDES GLC COUPE 43 AMG 4MATIC,62 030 €,B102160677,,203 g/km,Essence
2015,,mécanique,,B,,4.3 l/100km,requis,gris anthracite metal,cuir gris,2,,,,198 608 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102104905.html,91,10/01/2016,M. ou Mme D.,5,5,2,EURO6,non,,,,181 ch,9 CV,133 kW,,Vendeur particulier,,,Volvo,XC60,Bien équipé,VOLVO XC60 (2) D4 181 MOMENTUM BUSINESS,16 900 €,B102104905,,117 g/km,Diesel
2017,,mécanique,,B,,4.1 l/100km,requis,gris foncé verni,tissu noir,1,,,,106 037 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140994.html,94,28/09/2017,M. ou Mme B.,5,3,4,EURO6,non,,,,82 ch,4 CV,60 kW,,Vendeur particulier,,,Ds,3,Bien équipé,DS DS 3 (2) 1.2 PURETECH 82 SO CHIC,10 700 €,B102140994,,107 g/km,Essence
2011,,automatique,,F,,7.3 l/100km,requis,noir metal,alcantara noir,1,,,,162 750 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146137.html,33,28/07/2011,M. ou Mme H.,4,2,3,EURO5,non,,,Importé,333 ch,23 CV,245 kW,,Vendeur particulier,,,Audi,S5 CABRIOLET,,AUDI S5 CABRIOLET 3.0 V6 TFSI 333 QUATTRO S TRONIC 7,25 710 €,B102146137,,224 g/km,Essence
2019,,automatique,,C,,5.5 l/100km,non requis,gris anthracite metal,cuir marron,2,,,,78 390 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102109420.html,74,16/07/2019,M. ou Mme P.,5,5,3,EURO6,oui,,,,190 ch,11 CV,140 kW,,Vendeur particulier,,,Bmw,X3 G01,Très bien équipé,BMW X3 (G01) XDRIVE20DA 190 LUXURY,53 640 €,B102109420,,140 g/km,Diesel
2015,,automatique,,G,,8.8 l/100km,requis,rouge nacre,cuir noir,1,,,,59 890 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102077601.html,42,03/01/2016,M. ou Mme T.,4,2,2,EURO5,non,,,,550 ch,47 CV,404 kW,,Vendeur particulier,,,Nissan,GT-R,Bien équipé,NISSAN GT-R (2) 3.8 V6 550 TRACK PACK,116 270 €,B102077601,,275 g/km,Essence
2018,34 Km,automatique,,A,13 kWh/100km,,requis,noir verni,cuir noir,1,,,,58 667 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141426.html,06,04/04/2018,M. ou Mme P.,5,5,2,EURO6,non,,,,320 ch,10 CV,235 kW,oui,Vendeur particulier,,,Mercedes,GLC COUPE,Très bien équipé,MERCEDES GLC COUPE 350E 320 FASCINATION 4MATIC,59 380 €,B102141426,,59 g/km,Hybride essence électrique
2019,,automatique,,F,,8.3 l/100km,non requis,marron verni,cuir beige,1,,,,135 700 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102131009.html,19,06/12/2019,M. ou Mme C.,5,5,2,EURO6,non,,,,350 ch,25 CV,257 kW,,Vendeur particulier,,,Maserati,LEVANTE,Bien équipé,MASERATI LEVANTE 3.0 V6 Q4 GRANLUSSO AUTO,67 260 €,B102131009,,249 g/km,Essence
2009,,mécanique,,C,,4.5 l/100km,requis,bleu clair verni,tissu gris,3,,,,279 787 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150417.html,78,24/11/2009,M. ou Mme H.,5,5,2,EURO4,non,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Toyota,AURIS,Equipement standard,TOYOTA AURIS 90 D-4D LINEA LUNA 5P,3 960 €,B102150417,,132 g/km,Diesel
2021,,automatique,,B,,4.6 l/100km,non requis,jaune metal,alcantara noir,1,,,,30 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147307.html,27,15/10/2021,M. ou Mme T.,5,5,2,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volkswagen,GOLF 8,Equipement standard,VOLKSWAGEN GOLF VIII 1.5 ETSI OPF 150 STYLE 1ST DSG7,37 200 €,B102147307,,102 g/km,Essence
2018,45 Km,automatique,,A,,,requis,bleu marine verni,cuir/alcantara beige,1,,,,88 061 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102129276.html,35,28/08/2018,M. ou Mme F.,5,4,1,EURO6,oui,,,,259 ch,13 CV,240 kW,oui,Vendeur particulier,351 V,,Bmw,SERIE 7 G12,Bien équipé,BMW SERIE 7 (G12) 740LE IPERFORMANCE 326 M SPORT BVA8,44 940 €,B102129276,,50 g/km,Hybride essence électrique
