Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2017,,automatique,,E,,5.6 l/100km,requis,noir metal,cuir/alcantara noir,1,6 mois,,,81 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102470367.html,LA ROCHE-SUR-FORON (74),22/09/2017,SPORT CAR CONCEPT,5,5,4,EURO6,non,,,,381 ch,26 CV,280 kW,,Vendeur professionnel,,,Mercedes,CLASSE A 3 AMG,,MERCEDES CLASSE A III (2) 45 AMG 4MATIC,41 690 €,W102470367,,162 g/km,Essence
2019,,mécanique,,A,,3.7 l/100km,non requis,blanc,,1,6 mois,,,63 090 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111335715.html,SAINT MEDARD DE MUSSIDAN (24),13/05/2019,CENTRALE AUTO MARCHE,4,5,1,EURO6,oui,,,,71 ch,4 CV,,,Vendeur professionnel,,,Renault,TWINGO 3,Bien équipé,RENAULT TWINGO III 1.0 SCE 70 ZEN E6C,11 880 €,E111335715,942VO220820,95 g/km,Essence
2023,,mécanique,,B,,,non requis,gris metal,cuir/tissu ivoire,1,22 mois,,,11 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102467782.html,LEVALLOIS PERRET (92),22/09/2023,NEUBAUER FIAT JEEP ALFA ABARTH LEVALLOIS PERRET,4,3,1,EURO6,oui,,,,71 ch,4 CV,51 kW,,Vendeur professionnel,,,Fiat,500 (2E GENERATION),Equipement standard,FIAT 500 II (2) HYBRID 1.0 BSG 70 CH DOLCEVITA PLUS,19 180 €,W102467782,,106 g/km,Essence
2022,,automatique,,C,,6 l/100km,non requis,gris,,1,12 mois,en cours,,9 099 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111303737.html,MERIGNAC (33),26/01/2023,SPOTICAR STELLANTIS &YOU MERIGNAC,5,5,,EURO6,non,,,,130 ch,7 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,508 (2E GENERATION) SW,Equipement standard,PEUGEOT 508 II SW 1.2 PURETECH 130 S&S ACTIVE PACK EAT8,33 460 €,E111303737,427409,134 g/km,Essence
1972,,automatique,,,,,requis,rouge verni,cuir beige,,6 mois,,,76 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102388834.html,FEGERSHEIM (67),09/08/1971,PERFORMANCE MOTORS,,2,,,non,,,Importé,,,,,Vendeur professionnel,,,Chevrolet,CORVETTE C3,,CHEVROLET CORVETTE C3 5.7 350 CI,56 160 €,W102388834,,,Essence
2023,,mécanique,,C,,6.1 l/100km,non requis,gris,,1,12 mois,,,16 192 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111251781.html,VILLENEUVE D ASCQ (59),01/08/2023,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,5,5,1,EURO6,oui,,,,131 ch,7 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,3008 (2E GENERATION),Equipement standard,PEUGEOT 3008 II (2) 1.2 PURETECH 130 S&S STYLE,37 190 €,E111251781,450594,140 g/km,Essence
2021,,mécanique,,C,,5.4 l/100km,non requis,gris,,1,12 mois,,,24 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111147055.html,VAULX EN VELIN (69),24/05/2021,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,5,5,1,EURO6,non,,,,75 ch,4 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,208 (2E GENERATION),Equipement standard,PEUGEOT 208 II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,19 910 €,E111147055,439531,122 g/km,Essence
2019,,mécanique,,B,,4.3 l/100km,non requis,noir,,1,6 mois,,,27 750 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111286315.html,SAINT MEDARD DE MUSSIDAN (24),26/08/2019,CENTRALE AUTO MARCHE,5,5,3,EURO6,non,,,,82 ch,4 CV,,,Vendeur professionnel,,,Peugeot,2008,Bien équipé,PEUGEOT 2008 (2) 1.2 PURETECH 82 STYLE,14 970 €,E111286315,942VO220799,114 g/km,Essence
2017,,mécanique,,C,,5.1 l/100km,requis,blanc,noir,1,12 mois,,,91 421 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111271082.html,PARIS (75),28/09/2017,AUTOHERO - PARIS - 100% VENTE A DISTANCE,5,5,,EURO6,non,,,,116 ch,6 CV,,,Vendeur professionnel,,,Nissan,QASHQAI 2,Bien équipé,NISSAN QASHQAI II 1.2 DIG-T 115 ACENTA,18 950 €,E111271082,LL66854,129 g/km,Essence
