Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2021,,automatique,,F,,10.5 l/100km,non requis,gris quartz metal,cuir noir,1,12 mois,,,35 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102485816.html,LA COUTURE BOUSSEY (27),19/10/2021,GT CLASSIC CARS,4,2,,EURO6,non,,,Importé,450 ch,34 CV,331 kW,,Vendeur professionnel,,,Porsche,911 TYPE 992,Equipement standard,PORSCHE 911 (992) COUPE 3.0 450 CARRERA 4S PDK8,231 120 €,W102485816,18491-398,239 g/km,Essence
2013,,mécanique,,B,,3.6 l/100km,requis,noir,,2,6 mois,,,150 184 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111258200.html,MERIGNAC (33),05/11/2013,SPOTICAR STELLANTIS &YOU MERIGNAC,5,3,3,EURO5,non,,,,71 ch,4 CV,,,Vendeur professionnel,,SPOTICAR,Ford,FIESTA 5,Equipement standard,FORD FIESTA V 1400 TDCI 70 TREND 3P,9 150 €,E111258200,437475,107 g/km,Diesel
2019,,automatique,,C,,4.7 l/100km,non requis,Noir,Noir,2,6 mois,,,94 820 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111035237.html,LES FINS (25),22/05/2019,AUTOMOBILES MOUGIN,7,5,,EURO6,non,,,,150 ch,8 CV,,,Vendeur professionnel,,,Volkswagen,TOURAN 3,Très bien équipé,VOLKSWAGEN TOURAN III 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT DSG6 7PL,30 690 €,E111035237,1343_6712,122 g/km,Diesel
2022,,automatique,,,,,non requis,gris,,1,36 mois,en cours,3.6 A,13 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111282548.html,ISLES LES VILLENOY (77),10/10/2022,QARSON,5,5,,EURO6,non,,oui,Européen,122 ch,4 CV,90 kW,non,Vendeur professionnel,207 V,,Toyota,C-HR,Bien équipé,TOYOTA C-HR 1.8 HYBRIDE 122 DESIGN,37 460 €,E111282548,LCuS63342uNew,,Hybride essence électrique
2018,,automatique,,B,,4.1 l/100km,requis,gris anthracite metal,cuir noir,2,6 mois,,,78 624 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102476904.html,LA ROCHE-SUR-FORON (74),27/08/2018,SPORT CAR CONCEPT,4,2,3,EURO6,non,,,,190 ch,10 CV,140 kW,,Vendeur professionnel,,,Audi,A5 (2E GENERATION),Bien équipé,AUDI A5 II 2.0 TDI 190 ULTRA DESIGN LUXE QUATTRO S TRONIC,36 150 €,W102476904,,118 g/km,Diesel
2023,,mécanique,,,,,non requis,gris,,2,12 mois,en cours,,13 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111029604.html,OLIVET (45),29/01/2024,LES GRANDES OCCASIONS.COM OLIVET,5,5,,EURO6,non,,,,150 ch,8 CV,,,Vendeur professionnel,,,Ford,KUGA 3,Equipement standard,FORD KUGA III 2.0 ECOBLUE 150 MHEV 8CV ST LINE X,38 740 €,E111029604,3hzzeu,,Diesel
2019,,automatique,,C,,4.9 l/100km,non requis,noir,noir,2,,,,98 989 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111076502.html,SARREGUEMINES (57),23/10/2019,BLANC BLEU AUTOMOBILES,5,5,,EURO6,oui,,,,184 ch,10 CV,,,Vendeur professionnel,,,Skoda,OCTAVIA 3 COMBI RS,Equipement standard,SKODA OCTAVIA III (2) COMBI 2.0 TDI 184 RS DSG6,27 470 €,E111076502,22249,129 g/km,Diesel
2022,448 Km,automatique,50 kWh,A,14 kWh/100km,,non requis,Gris,Noir,0,,en cours,138.9 A,16 050 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111210794.html,BELLEVILLE (69),28/08/2022,GARAGE DANIEL - 69220 BELLEVILLE,5,5,1,EURO6,oui,,oui,,136 ch,7 CV,,oui,Vendeur professionnel,360 V,,Tesla,MODEL 3,Bien équipé,TESLA MODEL 3 STANDARD RWD PLUS,47 050 €,E111210794,1342_3848,0 g/km,Electrique
2019,,automatique,,A,,3.4 l/100km,non requis,bleu,noir,1,6 mois,en cours,6.5 A,69 355 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111129656.html,ALES (30),02/10/2019,GROUPE LAGANIER ALES,5,5,1,EURO6,oui,,oui,,105 ch,5 CV,,non,Vendeur professionnel,240 V,,Kia,NIRO,Bien équipé,KIA NIRO 1.6 GDI 105 ISG HYBRIDE ACTIVE BUSINESS DCT6,23 600 €,E111129656,46321,79 g/km,Hybride essence électrique
2022,,automatique,,E,,6.4 l/100km,non requis,gris,,2,24 mois,en cours,,13 535 Km,https://www.lacentrale.fr//auto-occasion-annonce-69110835427.html,MONTAGNAT (01),24/02/2022,AUDI EUROPE GARAGE BOURG EN BRESSE MONTAGNAT,5,5,,EURO6,oui,,,,204 ch,11 CV,,,Vendeur professionnel,,Audi occasions :plus,Audi,Q5 (2E GENERATION),Equipement standard,AUDI Q5 II (2) 40 TDI 204 BUSINESS EXECUTIVE QUATTRO S TRONIC 7,61 980 €,E110835427,47154,166 g/km,Diesel
